id;price;name;url;ok0;x1;x2;y1;y2;ok;site
1;83950;Samsung HW-N950;https://stiltv.ru/dom_kino/soundbars/samsung-dolby-atmos-hw-n950.html?utm_source=Nadavi;1;736.0;809.0;452.0;470.0;1.0;stiltv.ru
2;370;Chicco Слонёнок;http://www.happydeti.ru/childrens_toys_and_games/developing_toys/chicco/22032/?from_par=nadavi;1;1296.0;1341.0;703.0;724.0;1.0;happydeti.ru
3;7364;Panasonic KX-FP218;https://24-bt.ru/product/faks-panasonic-kx-fp218ru-23929379/?region=krug_1&utm_source=Nadavi&utm_medium=cpc;1;697.0;772.0;450.0;474.0;1.0;24-bt.ru
4;14500;Hankook Smart Flex AH35 215/75 R17.5  126M;http://pitstop33.ru/vendor.php?tire=1000394765;1;1011.0;1054.0;304.0;316.0;1.0;pitstop33.ru
5;1520;TopON Аккумулятор для ноутбука Toshiba Satellite Pro A660, C645, L310, M30;https://goods.ru/catalog/details/akkumulyator-batareya-dlya-noutbuka-toshiba-satellite-pro-a660-c645-l310-m300-t110-equi-100023633973/?merchantId=4213&utm_source=nadavi&utm_medium=pricelist&utm_campaign=cpc;1;1017.0;1096.0;398.0;421.0;1.0;goods.ru
6;295;NK-301- S Наколенники волейбольные (Синий/Синий) р. S 10016343;https://www.ozon.ru/context/detail/id/166045379/?utm_source=cpc_nadavi&utm_medium=cpc&utm_campaign=msk_sport_mp&utm_content=id_166045379%7Ccatid_11259;1;1113.0;1159.0;493.0;514.0;1.0;ozon.ru
7;26590;Wanhao Duplicator 7;https://mygs.ru/products/Wanhaod7;1;774.0;834.0;322.0;337.0;1.0;mygs.ru
8;2850;CS Medica VibraPulsar CS-cr5;https://electrozon.ru/catalog/vibromassazery/203064-Podushka-massajnaya-CS-Medica-VibraPulsar-CS-cr5.html?utm_source=nadavi&utm_medium=cpc&utm_campaign=vibromassazery&utm_content=203064-Podushka-massajnaya-CS-Medica-VibraPulsar-CS-cr5&utm_term=203064#general;1;662.0;761.0;180.0;207.0;1.0;electrozon.ru
9;4430;Fiskars 143021;https://www.snail.ru/catalog/gazon/ri/1003470?utm_medium=cpc&utm_source=nadavi;1;1155.0;1267.0;254.0;288.0;1.0;snail.ru
10;5740;Falcon Eye FE-104MHD KIT START;https://www.citilink.ru/catalog/photo_and_video/video_observation/cctv_kit/1030635/?utm_source=xml_nadavi_msk&utm_content=1030635&utm_medium=cpc&utm_campaign=Photo-o_66694-c_40-s_1-k_615-p_3-i_0-d_3&mrkt=msk_cl&utm_term=628_FALCON+EYE_FE-104MHD+KIT+START;1;1066.0;1130.0;149.0;171.0;1.0;citilink.ru
11;1295;БоецЪ Борцовки БоецЪ БСЗ-02СК, синие/красные, 33;https://goods.ru/catalog/details/sambovki-boec-bsz-02sk-razmer-33-600000691486/?merchantId=794&utm_source=nadavi&utm_medium=pricelist&utm_campaign=cpc;1;1017.0;1094.0;333.0;356.0;1.0;goods.ru
12;401;Bristol Трость с золотым шаром Bristol ПБ781;https://goods.ru/catalog/details/trost-s-zolotym-sharom-art-pb781-100025344203/?merchantId=2521&utm_source=nadavi&utm_medium=pricelist&utm_campaign=cpc;1;1017.0;1069.0;358.0;381.0;1.0;goods.ru
13;3705;KITFORT KT-1609;https://24-bt.ru/product/sendvichnica-kitfort-kt-1609-panini-maker-zelenyj-26769899/?region=krug_1&utm_source=Nadavi&utm_medium=cpc;0;699.0;768.0;450.0;474.0;1.0;24-bt.ru
14;79990;Siemens EQ.6 plus s100 TE651209RW;https://www.mvideo.ru/products/kofemashina-siemens-eq-6-plus-s100-te651209rw-20052027?cityId=CityCZ_975&utm_source=ipr_pp_nadavi_gorod&utm_medium=cpc&utm_campaign=ipr_nadavi_msk&utm_term=20052027_0;1;910.0;1001.0;493.0;514.0;1.0;mvideo.ru
15;186;Мультидом Рассекатель пламени MultiDom С ручкой для газовой плиты;https://goods.ru/catalog/details/rassekatel-plameni-s-ruchkoy-dlya-gazovoy-plity-multidom-d-21-sm-100025662766/?merchantId=2293&utm_source=nadavi&utm_medium=pricelist&utm_campaign=cpc;1;1017.0;1068.0;333.0;356.0;1.0;goods.ru
16;1110;Kidboo SWEET FLOWERS;http://www.happydeti.ru/children_room/envelopes_and_sleeping_bags/kidboo/29404/?from_par=nadavi;1;1276.0;1341.0;395.0;416.0;1.0;happydeti.ru
17;390;VERONA Багажный замок Verona Locker, черный;https://goods.ru/catalog/details/bagazhnyy-zamok-verona-locker-chernyy-600001007519/?merchantId=3516&utm_source=nadavi&utm_medium=pricelist&utm_campaign=cpc;1;1017.0;1078.0;358.0;381.0;1.0;goods.ru
19;1120;Мастак МАСТАК Манометр регулятор 1/4 694-21;https://goods.ru/catalog/details/mastak-manometr-regulyator-1-4-694-21-100023207150/?merchantId=4030&utm_source=nadavi&utm_medium=pricelist&utm_campaign=cpc;1;1017.0;1090.0;333.0;356.0;1.0;goods.ru
20;275700;Ghibli FR 30 SM 45 BC;https://www.tehnika4u.ru/catalog/30667?utm_source=Nadavi&utm_medium=cpc;1;927.0;1081.0;473.0;505.0;1.0;tehnika4u.ru
21;2990;Braun MGK-3020;https://www.ozon.ru/context/detail/id/154525887/?utm_source=cpc_nadavi&utm_medium=cpc&utm_campaign=msk_appliance_mp&utm_content=id_154525887%7Ccatid_10766;1;1113.0;1187.0;517.0;538.0;1.0;ozon.ru
22;6990;Подставка для олимпийских дисков--Body Solid OWT24 Body Solid;https://www.getsport.ru/product/podstavka-dlya-olimpijskih-diskov-body-solid-owt24/59436?utm_source=Nadavi&utm_medium=cpc;1;735.0;827.0;404.0;426.0;1.0;getsport.ru
23;1180;Chicco Сушилка для бутылочек;http://www.happydeti.ru/feeding_of_the_child/accessories_for_feeding_of_the_child/chicco/34658/?from_par=nadavi;1;1274.0;1341.0;395.0;416.0;1.0;happydeti.ru
26;549;Утяжелители для ног Bax UN1.5;https://www.sportmaster.ru/product/1741582/?nomobile=1&city_id=0c5b2444-70a0-4932-980c-b4dc0d3f02b5&PRODUCT_ID=1741583&utm_campaign=e-katalog_magazilla_moscow&utm_source=e-katalog_magazilla&utm_medium=price&utm_term=1741583&utm_content=1741583;1;0.0;0.0;937.0;937.0;2.0;sportmaster.ru
28;57850;Yaesu FT-450D;https://topradar.ru/product/avtomobilnaja-racija-yaesu-ft-450/?utm_source=nadavi&utm_medium=cpc&utm_content=14131&utm_campaign=racii-yaesu__&utm_term=o_61058-c_40-s_1-k_278-p_3-i_0-d_3;1;571.0;690.0;668.0;693.0;1.0;topradar.ru
31;300;Извещатель пожарный ручной ИПР 513-10;https://carcam.ru/product/ipr-513-10-fire-button.html?region=carcam&roistat=yamarket2_21257715_27587&utm_source=nadavi&utm_medium=cpc&utm_term=27587&utm_campaign=spb;1;1061.0;1122.0;497.0;522.0;1.0;carcam.ru
32;8260;Sho-Me Combo 5 A12;https://electrozon.ru/catalog/videoregistratory/244464-Videoregistrator-s-radar-detektorom-Sho-Me-Combo-5-A12.html?utm_source=nadavi&utm_medium=cpc&utm_campaign=videoregistratory&utm_content=244464-Videoregistrator-s-radar-detektorom-Sho-Me-Combo-5-A12&utm_term=244464#general;1;661.0;743.0;220.0;244.0;1.0;electrozon.ru
33;1225;Koziol 2042536;https://best-kitchen.ru/collection/dekor-dlya-sten/product/nabor-iz-4-dekorativnyh-elementov-pip-krasnyy-koziol-2042536?utm_medium=cpc&utm_source=nadavi&utm_content=116656617;1;746.0;794.0;341.0;357.0;1.0;best-kitchen.ru
34;368;Sima-land Дорожный набор «Keep calm and...»: подушка, маска для сна Sima-L;https://goods.ru/catalog/details/dorozhnyy-nabor-keep-calm-and-podushka-maska-dlya-sna-sima-land-100025581882/?merchantId=1522&utm_source=nadavi&utm_medium=pricelist&utm_campaign=cpc;1;1017.0;1075.0;398.0;421.0;1.0;goods.ru
36;1790;Joby GripTight ONE GP Magnetic Impulse;https://xi.express/catalog/shtativ_joby_griptight_one_gp_magnetic_impulse_dlya_smartfona.html?utm_source=Nadavi&utm_medium=cpc&utm_campaign=Nadavi;1;1036.0;1094.0;289.0;307.0;1.0;xi.express
37;8139;Panasonic NC-EG4000;https://elecity.ru/item/291821-termopot-panasonic-nc-eg4000/?utm_source=Nadavi&utm_medium=cpc;1;523.0;597.0;593.0;617.0;1.0;elecity.ru
38;150;Ремешок силиконовый для фитнес трекера Xiaomi Mi Band 2 (blue);https://appleavenue.ru/catalog/remeshki_i_braslety_dlya_umnykh_chasov_i_fitnes_brasletov_xiaomi/remeshok_silikonovyy_dlya_fitnes_trekera_xiaomi_mi_band_2_blue_1/?r1=yandext&r2=&utm_source=Nadavi&utm_medium=cpc;1;951.0;992.0;430.0;449.0;1.0;appleavenue.ru
39;14438;Pioneer TS-WX610A;https://www.techport.ru/katalog/products/vse-dlja-avtomobilja/avtozvuk/avtomobilnaja-akustika/pioneer-ts-wx610a?rc=yndv&city=RUS&utm_source=nadavi&utm_medium=referral&utm_term=258657-o_42746-c_40-s_1-k_243-p_3-i_0-d_3&utm_content=258657&utm_campaign=nadaviRUS;1;1024.0;1134.0;346.0;371.0;1.0;techport.ru
40;17180;Насосная группа UK с насосом Grundfos UPS 25-60, без смесителя 1 (поколен;https://teplovodservice.ru/kotelnaya_armatura/meibes/nasosnye_gruppy/nasosnaya_gruppa_uk_s_nasosom_grundfos_ups_25-60_bez_smesitelya_1_pokolenie_8_meibes/?utm_source=Nadavi&utm_medium=cpc;1;923.0;1048.0;590.0;624.0;1.0;teplovodservice.ru
